Feature,Importance
_ChargeD3100,0.08202521619483984
Mw,0.057649524832959285
_ChargeD3050,0.029163947957931667
_PolarityD2075,0.028232876954461972
_SolventAccessibilityD3100,0.02490205541738154
_HydrophobicityD3001,0.02409335111509184
K,0.02120585960462146
F,0.01998429456119387
_NormalizedVDWVD2025,0.01951731964722967
_NormalizedVDWVD1075,0.018387389062134694
_SecondaryStrD3100,0.018362953769572716
_SolventAccessibilityD3075,0.01618442497883734
_ChargeD1100,0.01605156623123397
_PolarizabilityD3025,0.0157735556374026
W,0.0144936221468015
P,0.01385935890687809
_PolarizabilityD2001,0.013581427147316086
charge of all,0.013215676293172388
_ChargeD3025,0.01316708548747556
_PolarizabilityD2025,0.012972140272745491
_PolarizabilityD1025,0.012035405153771233
_PolarityD3050,0.01156638657006018
_SecondaryStrD3050,0.010767366680435467
_SolventAccessibilityD1001,0.010476112993478637
T,0.01043406564549514
_ChargeD3001,0.010155834249356606
positive_charge,0.009860957233710603
_SecondaryStrD3075,0.009792642430026414
_ChargeD1050,0.009778806608861147
_PolarityD2100,0.009572939656148567
Y,0.009538158502497633
_NormalizedVDWVD1100,0.009126465515513852
E,0.00862281489050171
_ChargeD3075,0.00856450325983739
D,0.008520039805443958
S,0.00841590432294955
_NormalizedVDWVD2100,0.008413146213888468
_SolventAccessibilityD3050,0.008242696610371544
_PolarizabilityD1050,0.008207687399012306
_ChargeD1025,0.008069771401805308
