Feature,Coefficient
_ChargeD3100,0.9034438352132511
_NormalizedVDWVD1100,0.5092317225285302
_SolventAccessibilityD3100,0.3645345978208545
_PolarityD2075,0.27499507148631547
T,0.15448145323882845
_PolarizabilityD3025,0.14131066123114563
_NormalizedVDWVD3025,0.1413106612311455
_SecondaryStrD3100,0.05341936414835312
S,0.05082341817490045
_NormalizedVDWVD2025,0.015432106392472302
_PolarizabilityD3075,0.010141287218311123
_NormalizedVDWVD3075,0.010141287218310957
_ChargeD3025,-0.01943543783360885
_ChargeD3050,-0.09268286609268067
_ChargeD3001,-0.11075821854747647
_PolarityD3100,-0.14755448710432698
_HydrophobicityD1050,-0.19610638459683796
_HydrophobicityD2001,-0.20115285717420825
F,-0.22852349631371416
_HydrophobicityD3001,-0.273894369923655
Mw,-0.3561989202883087
K,-0.3899966547867654
