Feature,Coefficient
_SolventAccessibilityD3100,0.5470645900181889
_ChargeD3100,0.3315591905509365
_SecondaryStrD3100,0.330361718248227
_PolarizabilityD3025,0.26662903820205575
_ChargeD3025,0.24069615525210947
_NormalizedVDWVD2025,0.16580891169138112
_NormalizedVDWVD1075,0.16580030679308316
_PolarityD2075,0.14026494095904252
P,0.13040772228591851
_ChargeD1100,0.09281430819313673
_PolarizabilityD2025,0.0033971975173827107
Mw,-0.05352874103065708
W,-0.07510029864697165
_SolventAccessibilityD3075,-0.16132326462073376
_HydrophobicityD3001,-0.1634049647960575
_ChargeD3050,-0.17440663638274256
_PolarizabilityD1025,-0.17852762138655395
_PolarityD3050,-0.21295194480269602
F,-0.23761588270686643
_PolarizabilityD2001,-0.2380591386437028
K,-0.24259297500275329
charge of all,-0.6311139613867758
