Feature,Coefficient
_ChargeD3100,0.7222167684652765
_NormalizedVDWVD1100,0.7097411717857232
_SolventAccessibilityT23,0.3058092185076527
_PolarizabilityT12,0.19186229187757647
P,0.16621871194970772
_ChargeT23,0.10367317077710242
_SolventAccessibilityC3,0.05743295251772224
_ChargeC3,-0.01175400502030527
_HydrophobicityD2100,-0.051964695068785
_PolarityC3,-0.09094217345653402
KV,-0.09138083352269531
_PolarityC2,-0.1382683231080245
negative_charge,-0.14783281278350946
GG,-0.14787282840567967
_NormalizedVDWVT12,-0.18407712583934407
_NormalizedVDWVC3,-0.18672530022460745
_PolarizabilityC3,-0.18672530022460765
_ChargeD3075,-0.2337445011350737
charge of all,-0.24561202983128402
_PolarityT13,-0.34676108978083564
_PolarizabilityD1100,-0.38968085405117764
_ChargeC1,-0.39660736362343896
