Feature,Coefficient
_ChargeD3100,0.6710450918014953
_SolventAccessibilityT23,0.4405454064657871
unpolar_number,0.4158876442018398
_NormalizedVDWVD1100,0.31872722267418285
LC,0.19581975672547028
_PolarityC2,0.12201257192528517
_ChargeT23,0.12163420166585895
AT,0.009856169863732028
LI,-0.02897794308936341
HH,-0.031032606594757962
VV,-0.03863816266562228
NR,-0.04292100560418019
KG,-0.07637734205949426
KV,-0.11525211526888324
GG,-0.16491295870477157
IK,-0.1754224749728817
_PolarityC3,-0.1804141013939521
_ChargeD3075,-0.23694647987709547
QF,-0.3073622521128345
negative_charge,-0.5243569191770658
charge of all,-0.5375929526911531
_NormalizedVDWVC3,-0.5862503522526096
